Sexo_p0082,Mismo_jefedehogar_p1011,Etnia_p103,Sisben_p104,Tiempo(meses)_viviendaactual_p105,Electricidad_p201a,Medidor_electricidad_p202a,Electricidad_cocina_p204a,Gas_Natural_p201b,Gas_pipeta_p201c,Acueducto_p201d,Red_aguapotablep_p202d,Agua_acueducto_alimentos_p204d,Alcantarillado_p201e,Alcantarillado_remunicipal_p202e,Servsanitario_redmunicipal_p204e,Basuras_pp201f,Basuras_recoleecmunicipal_p202f,recoleecmunicipal_unicomedio_p204f,Material_vivienda_p206,Cuartos_piezas_p207,Forma_tenencia_p208,#hogares_x_vivienda_p2092,Edad_promedio_xhogar,Personas_xhogar,Ing _Total_xhogar ,Prome_Montoempleo_xhogar_p308ma,Prome_Montoindepen_xhogar_p308mb,Prome_Montonegocio_xhogar_p308mc,Prome_Montoayudas_xhogar_p308md,Prome_Montocasional_xhogar_p308mf,Prome_Montopension_xhogarp308me,%personas_noing_xhogar,%personas_actprincipal_trabajar,%personas_actprincipal_buscartrabajo,%personas_actprincipal_estudiar,%personas_actprincipal_oficioshogar,%personas_actprincipal_Otrasactivi,%personas_actsecundaria_trabajar,%personas_actsecundaria_buscartrabajo,%personas_actsecundaria_estudiar,%personas_actsecundaria_oficioshogar,%personas_actsecundaria_Otrasactivi,%personas_segsocial,Prome_a�oseducacion_xhogar,Meses_en_el_trabajo*_p4032,Situaciones_trabajo_p406,Preocu_alimen_x_dinero_p413,Sinalimen_x_dinero_p414,Curso_form_trab_p416,Curso_obte_mant_trabajo_p417,trabajo_propio_p418,Maltrato intrafamiliar en la zona
2.00,1.00,4.00,1.00,121.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,46.00,1.00,616000.00,616000.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,11.00,324.00,1.00,2.00,2.00,2.00,0.00,2.00,1.00
2.00,1.00,6.00,1.00,24.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,5.00,1.00,17.00,4.00,600000.00,600000.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.25,9.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,1.00,7.00,1.00,9.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,6.00,1.00,20.00,4.00,600000.00,0.00,600000.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,6.00,0.00,0.00,1.00,2.00,1.00,2.00,2.00,1.00
1.00,1.00,4.00,6.00,122.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,42.00,4.00,470000.00,0.00,0.00,0.00,50000.00,420000.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.25,4.00,0.00,0.00,2.00,2.00,2.00,0.00,2.00,1.00
1.00,2.00,7.00,4.00,24.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,43.00,3.00,1360000.00,620000.00,370000.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,8.00,5.00,1.00,2.00,2.00,2.00,0.00,1.00,1.00
2.00,2.00,4.00,1.00,122.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,18.00,3.00,340000.00,340000.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.00,7.00,0.00,0.00,2.00,2.00,2.00,0.00,2.00,0.00
2.00,1.00,4.00,1.00,122.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,13.00,6.00,290000.00,0.00,150000.00,0.00,140000.00,0.00,0.00,0.67,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,3.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
1.00,1.00,2.00,1.00,121.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,17.00,4.00,460000.00,460000.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.25,4.00,96.00,4.00,1.00,2.00,1.00,1.00,2.00,1.00
1.00,1.00,4.00,6.00,24.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,23.00,2.00,616000.00,616000.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.50,11.00,24.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00
1.00,1.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,22.00,5.00,470000.00,300000.00,150000.00,0.00,20000.00,0.00,0.00,0.40,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.40,0.20,0.00,4.00,6.00,3.00,1.00,1.00,2.00,0.00,2.00,1.00
